x,y,Name,Team,Age
-1.6061933053065753,-6.345080123260446,CHRISTIAN BERGLUND,New Jersey Devils,22.0
9.497291401442178,-2.0572017819920614,CHRISTIAN BERGLUND,New Jersey Devils,23.0
-2.8570792737059185,-11.011892117735648,CHRISTIAN BERGLUND,Florida Panthers,23.0
4.790122127677663,-2.067660599128723,ANDREAS DACKELL,Ottawa Senators,27.0
5.80708816313211,0.24258156770157124,ANDREAS DACKELL,Ottawa Senators,28.0
4.29251259608228,1.833839137425149,ANDREAS DACKELL,Montreal Canadiens,29.0
1.9604743512469516,6.889599792715568,ANDREAS DACKELL,Montreal Canadiens,30.0
-2.8476097917293313,-7.956941517383193,ANDREAS DACKELL,Montreal Canadiens,31.0
-7.935241377344273,0.010449738207761253,PETER FORSBERG,Colorado Avalanche,26.0
8.037341223578183,1.4223205501980767,PETER FORSBERG,Colorado Avalanche,27.0
8.955628973971537,0.3704410185571906,PETER FORSBERG,Colorado Avalanche,29.0
-7.927421670549975,-0.12938825629516346,PETER FORSBERG,Colorado Avalanche,30.0
-4.011525217993625,-4.741970239433442,PETER FORSBERG,Philadelphia Flyers,32.0
-7.676803339665271,-0.3757298463906423,PETER FORSBERG,Philadelphia Flyers,33.0
0.4220664795589057,2.265259036736851,PETER FORSBERG,Nashville Predators,33.0
7.415721569301119,-0.5500589310461638,PETER FORSBERG,Colorado Avalanche,34.0
1.6043913251283521,5.078628724974253,TOMAS HOLMSTROM,Detroit Red Wings,26.0
1.5671315857733163,4.626472858316171,TOMAS HOLMSTROM,Detroit Red Wings,27.0
-2.793253870120608,-1.0989487590738098,TOMAS HOLMSTROM,Detroit Red Wings,28.0
1.9318444009140263,4.79751185877029,TOMAS HOLMSTROM,Detroit Red Wings,29.0
-4.18067051532461,-3.2324451315233396,TOMAS HOLMSTROM,Detroit Red Wings,30.0
-7.071819984507092,-1.8876283685152866,TOMAS HOLMSTROM,Detroit Red Wings,32.0
-2.006831650851442,6.5572629409499825,TOMAS HOLMSTROM,Detroit Red Wings,33.0
-4.767897642170511,3.598777246401393,TOMAS HOLMSTROM,Detroit Red Wings,34.0
-5.582453806602808,1.9227365274689892,TOMAS HOLMSTROM,Detroit Red Wings,35.0
-4.475958317570066,-1.2659804736854139,TOMAS HOLMSTROM,Detroit Red Wings,36.0
1.2563976347829797,5.315008272115778,TOMAS HOLMSTROM,Detroit Red Wings,37.0
2.7471546743207123,7.6676110149092915,TOMAS HOLMSTROM,Detroit Red Wings,38.0
-5.95137132728607,-4.802984365643797,ANDREAS KARLSSON,Atlanta Thrashers,24.0
-2.990906081909934,-7.02719255757198,ANDREAS KARLSSON,Atlanta Thrashers,25.0
1.974880865830831,-6.6559271029776745,ANDREAS KARLSSON,Atlanta Thrashers,26.0
-7.043599386446099,-5.438589532872232,ANDREAS KARLSSON,Tampa Bay Lightning,31.0
